DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
06/04/2011,-8,-9.0,-5,-8,-9,-10,-8.0,-6,-3.0,7,0.0,-21.0,-13.0,-16,-32.0,-39,-46.0,-54.0,-60.0,-60.0,-58.0,-52.0,-50.0,-46
07/04/2011,-43,-42.0,-41,-42,-41,-38,-34.0,-28,-23.0,-18,-19.0,-20.0,-19.0,-17,-15.0,-14,-11.0,-12.0,-12.0,-15.0,-12.0,-11.0,-9.0,-11
08/04/2011,-15,-18.0,-18,-18,-17,-15,-14.0,-13,-11.0,-10,-8.0,-11.0,-9.0,-4,-2.0,-4,-4.0,-4.0,-10.0,-10.0,-14.0,-19.0,-22.0,-17
09/04/2011,-26,-34.0,-39,-40,-40,-38,-35.0,-36,-37.0,-38,-39.0,-38.0,-35.0,-31,-25.0,-22,-18.0,-18.0,-17.0,-19.0,-20.0,-18.0,-15.0,-15
10/04/2011,-17,-16.0,-15,-13,-11,-11,-10.0,-9,-8.0,-10,-12.0,-13.0,-13.0,-13,-13.0,-11,-12.0,-9.0,-7.0,-6.0,-7.0,-9.0,-9.0,-6
11/04/2011,-2,-1.0,-1,-4,-3,-2,1.0,7,12.0,14,16.0,17.0,9.0,5,9.0,20,32.0,22.0,16.0,12.0,10.0,11.0,17.0,21
12/04/2011,20,16.0,11,6,9,5,-16.0,-32,-45.0,-48,-37.0,-28.0,-30.0,-43,-45.0,-43,-41.0,-37.0,-32.0,-28.0,-24.0,-25.0,-30.0,-34
13/04/2011,-34,-29.0,-30,-31,-38,-45,-43.0,-43,-40.0,-36,-40.0,-34.0,-27.0,-25,-23.0,-24,-24.0,-23.0,-19.0,-17.0,-15.0,-14.0,-13.0,-12
14/04/2011,-13,-15.0,-18,-20,-23,-22,-20.0,-21,-20.0,-18,-17.0,-18.0,-16.0,-13,-13.0,-14,-15.0,-13.0,-7.0,-4.0,-5.0,-5.0,-9.0,-14
15/04/2011,-17,-17.0,-19,-18,-16,-14,-14.0,-13,-12.0,-8,-9.0,-3.0,0.0,0,3.0,1,1.0,4.0,3.0,1.0,-3.0,-1.0,3.0,2
16/04/2011,1,0.0,3,3,0,2,1.0,1,1.0,-1,0.0,1.0,3.0,5,4.0,5,9.0,11.0,11.0,10.0,9.0,8.0,10.0,8
17/04/2011,7,5.0,2,2,2,3,4.0,3,3.0,2,-3.0,-1.0,3.0,2,1.0,1,2.0,4.0,4.0,-1.0,-3.0,0.0,5.0,9
18/04/2011,9,7.0,6,6,5,4,9.0,29,26.0,15,9.0,4.0,6.0,-5,-10.0,-14,-15.0,-12.0,-11.0,-11.0,-9.0,-8.0,-7.0,-6
19/04/2011,-8,-11.0,-8,-8,-7,-2,-2.0,-5,-11.0,-11,-9.0,-7.0,-5.0,-3,-3.0,-4,-5.0,-3.0,-1.0,1.0,1.0,12.0,19.0,17
20/04/2011,14,6.0,1,-3,-10,-22,-20.0,-21,-26.0,-20,-17.0,-14.0,-15.0,-17,-15.0,-17,-16.0,-13.0,-13.0,-13.0,-11.0,-6.0,-2.0,1
21/04/2011,-1,-5.0,-8,-11,-11,-8,-7.0,-8,-6.0,-4,-4.0,-3.0,-3.0,-2,-1.0,0,1.0,5.0,6.0,7.0,7.0,9.0,10.0,11
22/04/2011,7,0.0,-9,-9,-10,-7,-5.0,-6,-7.0,-8,-12.0,-13.0,-15.0,-14,-11.0,-10,-8.0,-8.0,-7.0,-7.0,-5.0,-2.0,0.0,-1
23/04/2011,-4,-14.0,-11,-8,-8,-7,-7.0,-7,-8.0,-9,-10.0,-10.0,-8.0,-4,-4.0,-5,-4.0,0.0,0.0,2.0,4.0,6.0,10.0,15
24/04/2011,13,6.0,0,-1,-4,-4,-2.0,-1,-1.0,1,0.0,2.0,5.0,8,7.0,3,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2
25/04/2011,0,-4.0,-10,-10,-11,-12,-9.0,-6,-8.0,-9,-11.0,-11.0,-8.0,-6,-6.0,-7,-9.0,-9.0,-8.0,-7.0,-5.0,-4.0,-1.0,-1
26/04/2011,-4,-8.0,-8,-6,-5,-5,-6.0,-7,-8.0,-7,-4.0,-5.0,-6.0,-8,-9.0,-7,-8.0,-8.0,-8.0,-6.0,-4.0,-2.0,0.0,1
27/04/2011,0,-2.0,-4,-3,-3,-3,-2.0,-4,-3.0,-3,-3.0,-4.0,-5.0,-4,-5.0,-6,-6.0,-7.0,-9.0,-8.0,-4.0,-3.0,-3.0,-2
28/04/2011,-2,-1.0,0,1,3,3,3.0,4,5.0,7,8.0,8.0,7.0,8,9.0,10,0.0,-4.0,-8.0,-9.0,-9.0,-8.0,-4.0,-1
29/04/2011,-1,-2.0,-6,-7,-6,-6,-5.0,-5,-3.0,-3,-4.0,-4.0,-4.0,-4,-6.0,-10,-5.0,2.0,3.0,-3.0,-17.0,-18.0,-6.0,-5
30/04/2011,-9,-31.0,-32,-31,-25,-23,-22.0,-27,-23.0,-22,-20.0,-32.0,-37.0,-34,-35.0,-34,-36.0,-40.0,-45.0,-46.0,-43.0,-35.0,-40.0,-33
01/05/2011,-28,-30.0,-31,-31,-30,-29,-29.0,-28,-24.0,-20,-22.0,-20.0,-25.0,-33,-30.0,-30,-33.0,-32.0,-32.0,-32.0,-31.0,-30.0,-28.0,-22
02/05/2011,-24,-30.0,-35,-39,-40,-42,-47.0,-43,-43.0,-43,-40.0,-31.0,-33.0,-31,-30.0,-30,-29.0,-27.0,-32.0,-34.0,-34.0,-34.0,-30.0,-28
03/05/2011,-32,-35.0,-33,-36,-36,-32,-29.0,-25,-23.0,-23,-19.0,-16.0,-17.0,-18,-18.0,-21,-18.0,-19.0,-24.0,-29.0,-27.0,-24.0,-21.0,-19
04/05/2011,-19,-19.0,-20,-20,-19,-16,-13.0,-15,-16.0,-20,-18.0,-14.0,-14.0,-14,-14.0,-17,-19.0,-20.0,-22.0,-20.0,-21.0,-20.0,-21.0,-21
05/05/2011,-20,-19.0,-20,-18,-16,-19,-19.0,-21,-19.0,-17,-14.0,-13.0,-12.0,-13,-11.0,-13,-14.0,-15.0,-19.0,-21.0,-23.0,-24.0,-19.0,-16
06/05/2011,-16,-16.0,-15,-13,-10,-11,-12.0,-17,-19.0,-19,-16.0,-14.0,-14.0,-15,-14.0,-13,-10.0,-13.0,-14.0,-15.0,-15.0,-12.0,-9.0,-9
07/05/2011,-10,-9.0,-7,-3,-2,-5,-7.0,-9,-11.0,-9,-7.0,-6.0,-4.0,-8,-13.0,-9,-7.0,-6.0,-11.0,-13.0,-13.0,-10.0,-9.0,-6
08/05/2011,-6,-7.0,-8,-7,-8,-9,-10.0,-9,-9.0,-9,-9.0,-9.0,-8.0,-7,-8.0,-7,-5.0,-5.0,-4.0,-3.0,-5.0,-4.0,-4.0,-4
09/05/2011,-4,-5.0,-6,-8,-4,-1,-1.0,0,1.0,1,-1.0,-2.0,-2.0,0,-2.0,-4,-5.0,-5.0,-5.0,-3.0,0.0,2.0,2.0,1
10/05/2011,0,1.0,2,2,4,8,7.0,2,-4.0,-6,-1.0,3.0,1.0,1,8.0,3,-4.0,-3.0,-8.0,-13.0,-13.0,-12.0,-10.0,-9
11/05/2011,-9,-13.0,-15,-12,-9,-13,-14.0,-14,-10.0,-10,-8.0,-7.0,-7.0,-8,-10.0,-11,-12.0,-14.0,-17.0,-17.0,-14.0,-12.0,-6.0,-4
12/05/2011,-6,-10.0,-11,-11,-9,-9,-9.0,-10,-12.0,-12,-10.0,-8.0,-7.0,-4,-4.0,-3,-3.0,-3.0,-1.0,0.0,-2.0,-2.0,-1.0,0
13/05/2011,0,0.0,0,-2,-2,-5,-2.0,2,6.0,6,8.0,10.0,7.0,6,5.0,7,7.0,9.0,11.0,10.0,6.0,5.0,9.0,12
14/05/2011,11,9.0,6,0,-4,-3,-1.0,1,2.0,3,3.0,2.0,3.0,4,4.0,8,6.0,4.0,4.0,6.0,10.0,12.0,18.0,22
15/05/2011,15,10.0,8,13,14,11,12.0,14,15.0,15,9.0,9.0,12.0,9,8.0,5,-2.0,-8.0,-7.0,-8.0,-8.0,-8.0,-9.0,-11
